accepted_family,accepted_genus,accepted_name,species_name_raw,species_name,iucn,name_matched,overall_score,taxonomic_status,accepted_author,publicacion,colector,herbarios,nombre_comun,registro_dep,regiones_ecologicas,sinampe,herbarios_peruanos,observaciones,autor_from_papers
Acanthaceae,Justicia,Justicia elegantissima,"11. Justicia elegantissima (Lindau) Wassh. EN, B1ab(iii)",Justicia elegantissima,"EN, B1abiii",Justicia elegantissima,1,Accepted,(Lindau) Wassh.,Monogr. Syst. Bot. Missouri Bot. Gard. 45: 1253. 1993.,E.H.G. Ule 6289 (B),NA,Desconocido.,SM.,BMHM; 900— 1100 m.,Sin registro.,MOL (1).,"Arbusto conocido aparentemente sólo de dos localidades en el nor-oriente del país. La localidad tipo proviene de la cuenca del Ponasa, una zona escasamente herborizada y que alberga varios endemismos. Brako & Zarucchi (1993) citaron Ucayali como parte de la distribución de esta especie, pero no se halló colecciones de herbario provenientes de ahí. Esta especie también es conocida de la cuenca del Mayo.",Lindau Wassh.
Acanthaceae,Justicia,Justicia loretensis,"12. Justicia loretensis Lindau EN, B1ab(iii)",Justicia loretensis,"EN, B1abiii",Justicia loretensis,1,Accepted,Lindau,"Bull. Herb. Boissier, ser. 2, 4: 410. 1904.",E.H.G. Ule 6876 (B),NA,Desconocido.,SM.,BMHP; altitud desconocida.,ACRCE,Ninguno.,"Arbusto conocido de dos localidades en el nor- oriente del país. La colección tipo fue recolectada en 1904 de la cuenca del Mayo. Esta zona alberga numerosos endemismos y la localidad original no ha sido extensamente herborizada. Esta localidad forma hoy parte del Area de Conservación Regional Cerro La Escalera. Esta especie fue citada como proveniente de Loreto, pero no hay registro de ese departamento. Esta especie también es conocida de la cuenca del Huallaga.",Lindau
Acanthaceae,Justicia,Justicia weberbaueri,"13. Justicia weberbaueri (Lindau) Wassh. EN, B1ab(iii)",Justicia weberbaueri,"EN, B1abiii",Justicia weberbaueri,1,Accepted,(Lindau) Wassh.,Monogr. Syst. Bot. Missouri Bot. Gard. 45: 1253. 1993.,A. Weberbauer 6557,(B; MOL!),Desconocido.,"JU, PA.","MA, BS; 2200— 2300 m.",Sin registro.,"MOL (isotipo), MOLF (1), USM (1).","Arbusto conocido solamente del centro del país en las cuencas del Mantaro y del Pozuzo. La colección tipo fue recolectada en 1913 de una zona con comunidades xerofíticas (Weberbauer, 1945). Tanto esa parte del Mantaro como las comunidades xéricas requieren de mayor exploración y herborización. Los incendios intencionales podrían afectar esta especie.",Lindau Wassh.
Acanthaceae,Justicia,Justicia alpina,"14. Justicia alpina Lindau VU, B1a",Justicia alpina,"VU, B1a",Justicia alpina,1,Accepted,Lindau,Repert. Spec. Nov. Regni Veg. 1: 159. 1905.,A. Weberbauer 3817 (B; MOL!),NA,Desconocido.,"CA, CU.","MA, BMHM; 2000—2870 m.",SHMP,"CPUN (2), HAO (2), HUT (2), MOL (isotipo), USM (1).",Hierba terrestre descrita de una planta recolectada en la cuenca del Magdalena en el norte de la vertiente del Pacífico. También se halla en la cuenca del Cajamarca. Esta especie es conocida además de poblaciones disyuntas en el sur de la vertiente oriental.,Lindau
Acanthaceae,Mendoncia,Mendoncia peruviana,"15. Mendoncia peruviana Leonard CR, B1ab(iii)",Mendoncia peruviana,"CR, B1abiii",Mendoncia peruviana,1,Accepted,Leonard,J. Wash. Acad. Sci. 21(7): 148. 1931.,"E.P. Killip & A.C. Smith 26357 (NY, US)",NA,Desconocido.,PA.,BHA; 400 m.,Sin registro.,Ninguno.,"Este bejuco es conocido aparentemente sólo de la colección tipo, una planta recolectada en 1929 de la cuenca del Pichis. Esta especie fue hallada en matorrales ribereños, un tipo de ambiente escasamente herborizado, al mismo tiempo fácilmente impactado por procesos naturales o actividades humanas.",Leonard
Acanthaceae,Mendoncia,Mendoncia tarapotana,"16. Mendoncia tarapotana Lindau EN, B1a",Mendoncia tarapotana,"EN, B1a",Mendoncia tarapotana,1,Accepted,Lindau,"Bull. Herb. Boissier, ser. 2, 4: 313. 1904.","R. Spruce 4620 (B, K)",NA,Desconocido.,"LO, SM.","BMHP, BHA; 110—700 m.",Sin registro.,USM (3).,"Bejuco conocido de dos localidades aisladas entre ellas por más de 350 km en línea recta. La localidad tipo está ubicada en la cuenca del Mayo, mientras que la otra está en la del Itaya, en ambientes pantanosos. Aparentemente no ha vuelto a ser recolectada desde 1974.",Lindau
Acanthaceae,Odontophyllum,Odontophyllum cuscoensis,"17. Odontophyllum cuscoensis (Wassh.) Sreem. CR, B1a",Odontophyllum cuscoensis,"CR, B1a",Odontophyllum cuscoensis,1,Accepted,(Wassh.) Sreem.,Phytologia 37(4): 414. 1977.,C. Vargas C. 15415,(US),Desconocido.,CU.,BHA; 520 m.,Sin registro.,Ninguno.,Arbusto recolectado en 1964 de la cuenca del Marcapata. Aparentemente no hay recolectas adicionales.,Wassh. Sreem.
Acanthaceae,Oplonia,Oplonia hutchisonii,"18. Oplonia hutchisonii Wassh. CR, B1a",Oplonia hutchisonii,"CR, B1a",Oplonia hutchisonii,1,Accepted,Wassh.,Phytologia 33: 444. 1976.,P.C. Hutchison 1559a (US),NA,Desconocido.,AM.,BHA; 400 m.,Sin registro.,Ninguno.,Arbusto conocido solamente de la localidad tipo entre las cuencas del Marañón y del Imaza. Esta especie fue recolectada en 1958.,Wassh.
Acanthaceae,Orophochilus,Orophochilus stipulaceus,"19. Orophochilus stipulaceus Lindau CR, B1ab(iii)",Orophochilus stipulaceus,"CR, B1abiii",Orophochilus stipulaceus,1,Accepted,Lindau,Bull. Herb. Boissier 5(8): 658. 1897.,"R. Spruce 4324 (B, NY)",NA,Desconocido.,SM.,BMHP; altitud desconocida.,Sin registro.,Ninguno.,"Arbusto conocido solamente de la colección tipo, una planta recolectada en el siglo XIX de la cuenca del Mayo. Aparentemente no ha vuelto a ser recolectada. Esta parte del país está siendo transformada por la expansión agrícola.",Lindau
Acanthaceae,Pachystachys,Pachystachys killipii,"20. Pachystachys killipii Wassh. CR, B1ab(iii)",Pachystachys killipii,"CR, B1abiii",Pachystachys killipii,1,Accepted,Wassh.,Proc. Biol. Soc. Wash. 99: 179. 1986.,"E.P. Killip & A.C. Smith 26621 (NY, US)",NA,Desconocido.,PA.,BHA; 375 m.,Sin registro.,Ninguno.,"Arbusto conocido aparentemente sólo de la colección tipo proveniente de la cuenca del Pichis. Brako & Zarucchi (1993) listaron esta especie para Junín, pero en realidad la localidad está en el Departamento de Pasco. Esta especie fue recolectada en 1929, cuando el acceso a esta parte de la cuenca del Pichis era por río o trocha peatonal. Podría estar representada en el Parque Nacional Yanachaga-Chemillén.",Wassh.
Acanthaceae,Pachystachys,Pachystachys incarnata,"21. Pachystachys incarnata Wassh. CR, B1ab(iii)",Pachystachys incarnata,"CR, B1abiii",Pachystachys incarnata,1,Accepted,Wassh.,Proc. Biol. Soc. Wash. 99: 171. 1986.,E.P. Killip & A.C. Smith 28926,(US),Desconocido.,LO.,BHA; 135 m.,Sin registro.,Ninguno.,"Este especie arbustiva es conocida aparentemente sólo de la colección tipo, una planta recolectada en 1929, cerca de Yurimaguas, en la cuenca del Huallaga. Los ambientes naturales de esta parte del país están afectados por la expansión agrícola.",Wassh.
Acanthaceae,Pachystachys,Pachystachys longibracteata,"22. Pachystachys longibracteata Wassh. CR, B1ab(iii)",Pachystachys longibracteata,"CR, B1abiii",Pachystachys longibracteata,1,Accepted,Wassh.,Proc. Biol. Soc. Wash. 99: 163. 1986.,E.P. Killip & A.C. Smith 28725 (US),NA,Desconocido.,LO.,BHA; 135 m.,Sin registro.,Ninguno.,Especie arbustiva aparentemente conocida sólo de la colección tipo. Esta especie fue recolectada en 1929 de la cuenca del Huallaga. Esta zona alberga varios endemismos. La expansión agrícola es el factor de transformación de los bosques en esta cuenca.,Wassh.
Acanthaceae,Pachystachys,Pachystachys puberula,"23. Pachystachys puberula Wassh. EN, B1a",Pachystachys puberula,"EN, B1a",Pachystachys puberula,1,Accepted,Wassh.,Proc. Biol. Soc. Wash. 99: 173. 1986.,D. Wasshausen & F. Encarnación 1023 (US),NA,Desconocido.,SM.,BHA; 200—800 m.,Sin registro.,USM (13).,Arbusto conocido de la cuenca del Huallaga. Ha sido recolectada en varias oportunidades de matorrales y márgenes de bosques intervenidos. Esta especie fue listada por Bridgewater et al. (2003) como parte de la flora de los bosques estacionalmente secos.,Wassh.
Acanthaceae,Pachystachys,Pachystachys schunkei,"24. Pachystachys schunkei Wassh. CR, B1ab(iii)",Pachystachys schunkei,"CR, B1abiii",Pachystachys schunkei,1,Accepted,Wassh.,Proc. Biol. Soc. Wash. 99: 166. 1986.,J. Schunke V. 7597 (US),NA,Desconocido.,SM.,"BMHP, BHA; 500—700 m.",Sin registro.,Ninguno.,"Arbusto conocido aparentemente sólo de la colección tipo, una planta proveniente de la cuenca del Huallaga. Esta parte de la cuenca está afectada por la actividad agrícola.",Wassh.
Acanthaceae,Pachystachys,Pachystachys fosteri,"25. Pachystachys fosteri Wassh. CR, B1ab(iii)",Pachystachys fosteri,"CR, B1abiii",Pachystachys fosteri,1,Accepted,Wassh.,Proc. Biol. Soc. Wash. 99: 168. 1986.,R.B. Foster 8686,"(F, US; USM!)",Desconocido.,HU.,BHA; 250—300 m.,Sin registro.,USM (isotipo).,"Arbusto conocido aparentemente sólo de la colección tipo, una planta recolectada en 1982 en la cuenca del Pachitea. Desde entonces esta parte de la cuenca está siendo transformada por las actividades agrícolas y mineras.",Wassh.
Acanthaceae,Ruellia,Ruellia rauhii,"26. Ruellia rauhii Wassh. CR, B1a",Ruellia rauhii,"CR, B1a",Ruellia rauhii,1,Accepted,Wassh.,Beitr. Biol. Pflanzen 63: 421—423. 1988.,"D. Wasshausen & F. Encarnación 581 (G, K, MO, NY, US)",NA,Desconocido.,CU.,"BMHP, BHA; 600 m.",Sin registro.,Ninguno.,Hierba perenne conocida aparentemente sólo de una localidad en la cuenca del Cosñipata. Por la información del ejemplar tipo se conoce que habita ambientes ribereños. Estos ambientes reciben escasa herborización.,Wassh.
Acanthaceae,Sanchezia,Sanchezia tarapotensis,"27. Sanchezia tarapotensis Leonard & L.B. Sm. EN, B1a",Sanchezia tarapotensis,"EN, B1a",Sanchezia tarapotensis,1,Accepted,Leonard & L.B. Sm.,"Rhodora 66(768): 341, f. 5J- L. 1964.",R. Ferreyra 7883 (US; USM!),NA,Desconocido.,"AM, SM.",BHA; 260—500 m.,Sin registro.,"HUT (2), USM (isotipo).","Esta especie herbácea fue descrita de una planta recolectada en la cuenca del Mayo en 1950. También se conoce de la cuenca del Imaza, en donde ha sido recolectada recientemente (1997).",Leonard & L.B. Sm.
Acanthaceae,Sanchezia,Sanchezia villosa,"28. Sanchezia villosa Leonard & L.B. Sm. CR, B1ab(iii)",Sanchezia villosa,"CR, B1abiii",Sanchezia villosa,1,Accepted,Leonard & L.B. Sm.,"Rhodora 66(768): 328—329, f. 3A. 1964.","R. Ferreyra 7969 (US; MOL!, USM!)",NA,Desconocido.,SM.,BMHP; 600—800 m.,Sin registro.,"MOL (isotipo), USM (isotipo).","Planta perenne conocida aparentemente sólo de la colección tipo, una planta recolectada en 1950 entre la cuenca del Mayo y del Huallaga. No se conoce detalles de su hábitat, pero en esa parte de San Martín los ambientes boscosos están siendo deforestados para la ampliación de la frontera agrícola.",Leonard & L.B. Sm.
Acanthaceae,Sanchezia,Sanchezia wurdackii,"29. Sanchezia wurdackii Wassh. EN, B1a",Sanchezia wurdackii,"EN, B1a",Sanchezia wurdackii,1,Accepted,Wassh.,"BioLlania, Ed. Especial 6: 543. 1997.",J.J. Wurdack 2051,(US; USM!),Desconocido.,"AM, SM.",BHA; 320—500 m.,Sin registro.,USM (isotipo+1).,"Esta hierba perenne es conocida de la cuenca de las cuencas del Imaza, Mayo y Marañón. El ejemplar tipo fue recolectado en 1962 y, aparentemente, no ha vuelto a ser registrado en esa localidad.",Wassh.
Acanthaceae,Sanchezia,Sanchezia sanmartinensis,"30. Sanchezia sanmartinensis Leonard & L.B. Sm. EN, B1ab(iii)",Sanchezia sanmartinensis,"EN, B1abiii",Sanchezia sanmartinensis,1,Accepted,Leonard & L.B. Sm.,"Rhodora 66(768): 328, f. 2H- I. 1964.","L. Williams 6018 (F, US)",NA,Desconocido.,SM.,"BMHP, BHA; 300—750 m.",Sin registro.,USM (1).,Arbusto conocido de aparentemente de tres localidades en las cuencas del Mayo y del Huallaga. La colección tipo fue recolectado en 1929 de los alrededores de Tarapoto. Probablemente las actividades agrícolas sean un problema para esta especie.,Leonard & L.B. Sm.
Acanthaceae,Sanchezia,Sanchezia filamentosa,"31. Sanchezia filamentosa Lindau EN, B1a",Sanchezia filamentosa,"EN, B1a",Sanchezia filamentosa,1,Accepted,Lindau,"Bull. Herb. Boissier, ser. 2, 4: 314. 1904.",E.H.G. Ule 6401 (B),NA,Desconocido.,"HU, SM.",BHA; 100—500 m.,Sin registro.,Ninguno.,"Arbusto conocido de aparentemente dos localidades en el nor-oriente del país. La colección tipo fue recolectada en 1902 en la cuenca del Cainarachi, afluente del Huallaga, en el departamento de San Martín y no Loreto. como fue registrada por Brako & Zarucchi (1993).",Lindau
Acanthaceae,Sanchezia,Sanchezia capitata,32. Sanchezia capitata (Nees) Lindau DD,Sanchezia capitata,DD,Sanchezia capitata,1,Accepted,(Nees) Lindau,"Bull. Herb. Boissier, ser. 2, 4: 315. 1904.",A. Mathews 1230 (K),NA,Desconocido.,"JU, PA.","BMHP, BHA; altitud desconocida.",Sin registro.,Ninguno.,Esta especie arbustiva es conocida de dos localidades. La colección tipo fue recolectada en la cuenca del Pangoa en el siglo XVIII. Probablemente la expansión urbana y las actividades agrícolas sean problemas para esta especie.,Nees Lindau
Acanthaceae,Sanchezia,Sanchezia bicolor,"33. Sanchezia bicolor Leonard & L.B. Sm. CR, B1ab(iii)",Sanchezia bicolor,"CR, B1abiii",Sanchezia bicolor,1,Accepted,Leonard & L.B. Sm.,"Rhodora 66(768): 320—321, f. 1E-F. 1964.",H.A. Allard 21711,(US),Desconocido.,UC.,BHA; 410 m.,Sin registro.,Ninguno.,"Esta especie herbácea es conocida solamente de la colección tipo, una planta recolectada en el límite entre los departamentos de Huánuco y Ucayali, en la cuenca del Aguaytía. Esta zona alberga varios endemismos. Brako & Zarucchi (1993) citaron San Martín, pero esto es un error. Podría estar representada en el Parque Nacional Cordillera Azul.",Leonard & L.B. Sm.
Acanthaceae,Sanchezia,Sanchezia williamsii,"34. Sanchezia williamsii Leonard EN, B1a",Sanchezia williamsii,"EN, B1a",Sanchezia williamsii,1,Accepted,Leonard,J. Wash. Acad. Sci. 22: 127. 1932.,"L. Williams 7701 (F, US)",NA,Desconocido.,SM.,"BMHM, BMHP; 1350—1500 m.",Sin registro.,Ninguno.,Arbusto conocido del área entre las cuencas del Sisa y del Mayo. Aparentemente no ha vuelto a ser recolectada desde 1930.,Leonard
Acanthaceae,Streblacanthus,Streblacanthus amoenus,35. Streblacanthus amoenus (Bremek.) T.F. Daniel LC,Streblacanthus amoenus,LC,Streblacanthus amoenus,1,Accepted,(Bremek.) T.F. Daniel,Novon 6(2): 147. 1996.,R.C.B. van den Brink 1402 (U),NA,Desconocido.,"AY, CU, HU, JU, LO, SM.",BHA; 250—800 m.,PNTM,Ninguno.,"Este arbusto fue descrito de una planta cultivada en Indonesia de la que hasta 1996 se desconocía su procedencia. Daniel (1996) aclaró el origen y distribución de esta especie peruana, la cual ha sido recolectada en varias localidades del oriente del país. Esta especie se comercializa mundialmente por su valor ornamental.",Bremek. T.F. Daniel
Acanthaceae,Suessenguthia,Suessenguthia vargasii var. hirsuta,"36. Suessenguthia vargasii Wassh. var. hirsuta Schmidt- Lebuhn CR, B1a",Suessenguthia vargasii var.hirsuta,"CR, B1a",Suessenguthia vargasii var. hirsuta,1,Accepted,Schmidt-Leb.,"Candollea 58(1): 116—118, f. 9. 2003.","A.H. Gentry et al. 51566 (MO, NY; AMAZ!)",NA,Desconocido.,MD.,BHA; 270—280 m.,"PNBS, RNT","AMAZ (isotipo), USM (1).",Arbusto trepador conocido de una localidad en el sur-oriente del país. Esta especie fue recolectada en la Reserva Nacional Tambopata y es posible que otras subpoblaciones se encuentren en el Parque Nacional Bahuaja-Sonene. Esta zona requiere de estudios florísticos detallados.,Wassh. var. hirsuta Schmidt- Lebuhn
Acanthaceae,Tetramerium,Tetramerium denudatum,"37. Tetramerium denudatum T.F. Daniel CR, B1a",Tetramerium denudatum,"CR, B1a",Tetramerium denudatum,1,Accepted,T.F. Daniel,"Syst. Bot. Monogr. 12: 42— 44, f. 31—39. 1986.",A. López M. & A. Sagástegui A. 8272,"(F, MO, US; HUT!)",Desconocido.,LL.,BS; 1700 m.,Sin registro.,HUT (isotipo).,"Esta especie herbácea crece postrada en laderas pedregosas de la cuenca del Marañón. Aparentemente no ha vuelto a ser recolectada desde 1974. Esta parte de la cuenca requiere de un estudio florístico detallado, pues alberga varios endemismos. Esta zona está fuertemente influenciada por la actividad minera y actividades relacionadas.",T.F. Daniel
Acanthaceae,Tetramerium,Tetramerium peruvianum,38. Tetramerium peruvianum (Lindau) T.F. Daniel NT,Tetramerium peruvianum,NT,Tetramerium peruvianum,1,Accepted,(Lindau) T.F. Daniel,Syst. Bot. Monogr. 12: 119. 1986.,"A. Weberbauer 4269 (B; MOL!, USM!)",NA,Desconocido.,"AM, CA, LL,PI.",BS; 550—1150 m.,Sin registro.,"HUT (4), MOL (isotipo), USM (isotipo+1).","Esta especie herbácea o subarbustiva es conocida de cinco localidades en el norte del país en las cuencas del Chotano, Chamaya, Huancabamba y Marañón. Sus poblaciones ocupan ambientes rocosos y tal vez este ambiente agreste las proteja del pastoreo intensivo.",Lindau T.F. Daniel
Acanthaceae,Tetramerium,Tetramerium sagasteguianum,"39. Tetramerium sagasteguianum T.F. Daniel EN, B1ab(iii)",Tetramerium sagasteguianum,"EN, B1abiii",Tetramerium sagasteguianum,1,Accepted,T.F. Daniel,"Syst. Bot. Monogr. 12: 110— 113, f. 6, 8, 39, 125—129. 1986.","T.F. Daniel & M.L. Butterwick 4319 (ASU, BM, F, GH, K, MICH, MO, NY, UC, US; HUT!)",NA,Desconocido.,"CA, LL, PI.","MDE, BS; 1000— 1815 m.",Sin registro.,"HAO (3), HUT (isotipo+3).","Esta especie se conoce solamente de la vertiente del Pacífico en el norte del país. Al menos en la localidad del tipo, ubicada en la cuenca del Magdalena, parece ser frecuente. Amenazas a las poblaciones de esta especie provienen de los incendios intencionales.",T.F. Daniel
Acanthaceae,Tetramerium,Tetramerium surcubambense,"40. Tetramerium surcubambense T.F. Daniel CR, B1ab(iii)",Tetramerium surcubambense,"CR, B1abiii",Tetramerium surcubambense,1,Accepted,T.F. Daniel,"Syst. Bot. Monogr. 12 :44— 46, f. 39—42. 1986.","A. Weberbauer 6483 (F, GH, US; MOL!, USM!)",NA,Desconocido.,HV.,BS; 1500 m.,Sin registro.,"MOL (isotipo), USM (isotipo).","Esta planta leñosa es conocida de la colección tipo, una planta recolectada en la cuenca del Mantaro en 1913. Esta parte de la cuenca alberga ambientes ecotonales de bosque montano húmedo con matorrales semixéricos (Weberbauer, 1945). La localidad original ha sido escasamente herborizada aun cuando alberga varios endemismos. Para la conservación de esta especie deberá considerarse el impacto de pastoreo caprino y probablemente incendios intencionales.",T.F. Daniel
Acanthaceae,Tetramerium,Tetramerium zeta,"41. Tetramerium zeta T.F. Daniel EN, B1ab(iii)",Tetramerium zeta,"EN, B1abiii",Tetramerium zeta,1,Accepted,T.F. Daniel,"Syst. Bot. Monogr. 12: 66— 69, f. 39, 60—62. 1986.",D. Wasshausen & F. Encarnación 927,(US),Desconocido.,"AM, CA.",BS; 350—700 m.,Sin registro.,USM (1).,"Esta hierba perenne es conocida aparentemente de dos localidades, ambas en la cuenca del Marañón, recolectadas en la década de 1970. Esta zona requiere de estudios botánicos detallados, pues alberga varios endemismos. Probablemente pastoreo caprino y expansión rural podrían ser problemas para los hábitats mésicos en que crece esta especie.",T.F. Daniel
Acanthaceae,Trichosanchezia,Trichosanchezia chrysothrix,"42. Trichosanchezia chrysothrix Mildbr. EN, B1a",Trichosanchezia chrysothrix,"EN, B1a",Trichosanchezia chrysothrix,1,Accepted,Mildbr.,Notizbl. Bot. Gart. Berlin- Dahlem 9: 984—985. 1926.,G. Tessmann 4011 (B),NA,Desconocido.,AM.,BHA; 370—1000 m.,Sin registro.,HUT (1).,"Hierba o subarbusto conocido del nor-oriente del país, de las cuencas del Santiago y del Imaza. Esta especie fue descrita de una planta recolectada en 1924 en la cuenca del Santiago, en la cual no ha vuelto a ser hallada. Poco se sabe de sus poblaciones, aunque algunas de estas han sido registradas hasta 1997.",Mildbr.
Actinidiaceae,Saurauia,Saurauia briquetii,"1. Saurauia briquetii Buscal. EN, B1ab(iii)",Saurauia briquetii,"EN, B1abiii",Saurauia briquetii,1,Accepted,Buscal.,Malpighia 30: 140. 1927.,A. Weberbauer 2177,F; MOL!.,Desconocido.,JU.,BMHM; 2500 m.,Sin registro.,MOL (isotipo).,"Arbusto conocido solamente de la localidad tipo, ubicada en la cuenca del Palca. Esta especie fue descrita de una planta recolectada en 1903, aproximadamente 40 años después fue vuelta a recolectar en la misma área. Aparentemente no se conocen ejemplares de herbario adicionales recientes, siendo de preocupación debido a que los ambientes naturales de la localidad original se hallan modificadas por incendios y avances de la frontera agrícola.",Buscal.
